Unidades territoriales;Indicadores de renta media;Periodo;Total
Ciudad Real;Media de la renta por unidad de consumo;2020;15.814
Ciudad Real;Media de la renta por unidad de consumo;2019;15.650
Ciudad Real;Media de la renta por unidad de consumo;2018;15.042
Ciudad Real;Media de la renta por unidad de consumo;2017;14.284
Ciudad Real;Media de la renta por unidad de consumo;2016;13.677
Ciudad Real;Media de la renta por unidad de consumo;2015;13.270
Ciudad Real;Mediana de la renta por unidad de consumo;2020;13.650
Ciudad Real;Mediana de la renta por unidad de consumo;2019;13.650
Ciudad Real;Mediana de la renta por unidad de consumo;2018;12.950
Ciudad Real;Mediana de la renta por unidad de consumo;2017;12.250
Ciudad Real;Mediana de la renta por unidad de consumo;2016;11.550
Ciudad Real;Mediana de la renta por unidad de consumo;2015;10.850
Ciudad Real;Renta bruta media por persona;2020;12.361
Ciudad Real;Renta bruta media por persona;2019;12.163
Ciudad Real;Renta bruta media por persona;2018;11.635
Ciudad Real;Renta bruta media por persona;2017;11.000
Ciudad Real;Renta bruta media por persona;2016;10.466
Ciudad Real;Renta bruta media por persona;2015;10.128
Ciudad Real;Renta bruta media por hogar;2020;31.391
Ciudad Real;Renta bruta media por hogar;2019;31.122
Ciudad Real;Renta bruta media por hogar;2018;29.897
Ciudad Real;Renta bruta media por hogar;2017;28.549
Ciudad Real;Renta bruta media por hogar;2016;27.558
Ciudad Real;Renta bruta media por hogar;2015;26.652
Cuenca;Renta neta media por persona ;2020;10.991
Cuenca;Renta neta media por persona ;2019;10.680
Cuenca;Renta neta media por persona ;2018;10.212
Cuenca;Renta neta media por persona ;2017;9.722
Cuenca;Renta neta media por persona ;2016;9.224
Cuenca;Renta neta media por persona ;2015;9.009
Cuenca;Renta neta media por hogar;2020;26.719
Cuenca;Renta neta media por hogar;2019;26.140
Cuenca;Renta neta media por hogar;2018;25.019
Cuenca;Renta neta media por hogar;2017;23.986
Cuenca;Renta neta media por hogar;2016;23.314
Cuenca;Renta neta media por hogar;2015;22.415
Cuenca;Media de la renta por unidad de consumo;2020;16.132
Cuenca;Media de la renta por unidad de consumo;2019;15.749
Cuenca;Media de la renta por unidad de consumo;2018;15.066
Cuenca;Media de la renta por unidad de consumo;2017;14.393
Cuenca;Media de la renta por unidad de consumo;2016;13.694
Cuenca;Media de la renta por unidad de consumo;2015;13.362
Cuenca;Mediana de la renta por unidad de consumo;2020;14.350
Cuenca;Mediana de la renta por unidad de consumo;2019;13.650
Cuenca;Mediana de la renta por unidad de consumo;2018;12.950
Cuenca;Mediana de la renta por unidad de consumo;2017;12.250
Cuenca;Mediana de la renta por unidad de consumo;2016;11.550
Cuenca;Mediana de la renta por unidad de consumo;2015;11.550
Cuenca;Renta bruta media por persona;2020;12.722
Cuenca;Renta bruta media por persona;2019;12.319
Cuenca;Renta bruta media por persona;2018;11.755
Cuenca;Renta bruta media por persona;2017;11.196
Cuenca;Renta bruta media por persona;2016;10.578
Cuenca;Renta bruta media por persona;2015;10.292
Cuenca;Renta bruta media por hogar;2020;30.928
Cuenca;Renta bruta media por hogar;2019;30.152
Cuenca;Renta bruta media por hogar;2018;28.799
Cuenca;Renta bruta media por hogar;2017;27.621
Cuenca;Renta bruta media por hogar;2016;26.735
Cuenca;Renta bruta media por hogar;2015;25.607
Guadalajara;Renta neta media por persona ;2020;12.624
Guadalajara;Renta neta media por persona ;2019;12.521
Guadalajara;Renta neta media por persona ;2018;12.083
Guadalajara;Renta neta media por persona ;2017;11.600
Guadalajara;Renta neta media por persona ;2016;11.212
Guadalajara;Renta neta media por persona ;2015;11.036
Guadalajara;Renta neta media por hogar;2020;32.431
Guadalajara;Renta neta media por hogar;2019;32.329
Guadalajara;Renta neta media por hogar;2018;31.083
Guadalajara;Renta neta media por hogar;2017;29.862
Guadalajara;Renta neta media por hogar;2016;29.080
Guadalajara;Renta neta media por hogar;2015;28.449
Guadalajara;Media de la renta por unidad de consumo;2020;18.914
Guadalajara;Media de la renta por unidad de consumo;2019;18.842
Guadalajara;Media de la renta por unidad de consumo;2018;18.202
Guadalajara;Media de la renta por unidad de consumo;2017;17.496
Guadalajara;Media de la renta por unidad de consumo;2016;16.941
Guadalajara;Media de la renta por unidad de consumo;2015;16.646
Guadalajara;Mediana de la renta por unidad de consumo;2020;17.150
Guadalajara;Mediana de la renta por unidad de consumo;2019;17.150
Guadalajara;Mediana de la renta por unidad de consumo;2018;16.450
Guadalajara;Mediana de la renta por unidad de consumo;2017;15.750
Guadalajara;Mediana de la renta por unidad de consumo;2016;15.050
Guadalajara;Mediana de la renta por unidad de consumo;2015;15.050
Guadalajara;Renta bruta media por persona;2020;15.096
Guadalajara;Renta bruta media por persona;2019;14.958
Guadalajara;Renta bruta media por persona;2018;14.415
Guadalajara;Renta bruta media por persona;2017;13.811
Guadalajara;Renta bruta media por persona;2016;13.327
Guadalajara;Renta bruta media por persona;2015;13.080
Guadalajara;Renta bruta media por hogar;2020;38.782
Guadalajara;Renta bruta media por hogar;2019;38.620
Guadalajara;Renta bruta media por hogar;2018;37.083
Guadalajara;Renta bruta media por hogar;2017;35.551
Guadalajara;Renta bruta media por hogar;2016;34.566
Guadalajara;Renta bruta media por hogar;2015;33.717
Toledo;Renta neta media por persona ;2020;10.533
Toledo;Renta neta media por persona ;2019;10.413
Toledo;Renta neta media por persona ;2018;9.955
Toledo;Renta neta media por persona ;2017;9.512
Toledo;Renta neta media por persona ;2016;9.085
Toledo;Renta neta media por persona ;2015;8.845
Toledo;Renta neta media por hogar;2020;27.906
Toledo;Renta neta media por hogar;2019;27.705
Toledo;Renta neta media por hogar;2018;26.489
Toledo;Renta neta media por hogar;2017;25.374
Toledo;Renta neta media por hogar;2016;24.502
Toledo;Renta neta media por hogar;2015;23.767
Toledo;Media de la renta por unidad de consumo;2020;15.995
Toledo;Media de la renta por unidad de consumo;2019;15.851
Toledo;Media de la renta por unidad de consumo;2018;15.164
Toledo;Media de la renta por unidad de consumo;2017;14.508
Toledo;Media de la renta por unidad de consumo;2016;13.874
Toledo;Media de la renta por unidad de consumo;2015;13.497
Toledo;Mediana de la renta por unidad de consumo;2020;14.350
Toledo;Mediana de la renta por unidad de consumo;2019;13.650
Toledo;Mediana de la renta por unidad de consumo;2018;12.950
Toledo;Mediana de la renta por unidad de consumo;2017;12.250
Toledo;Mediana de la renta por unidad de consumo;2016;12.250
Toledo;Mediana de la renta por unidad de consumo;2015;11.550
Toledo;Renta bruta media por persona;2020;12.358
Toledo;Renta bruta media por persona;2019;12.183
Toledo;Renta bruta media por persona;2018;11.617
Toledo;Renta bruta media por persona;2017;11.079
Toledo;Renta bruta media por persona;2016;10.538
Toledo;Renta bruta media por persona;2015;10.239
Toledo;Renta bruta media por hogar;2020;32.742
Toledo;Renta bruta media por hogar;2019;32.415
Toledo;Renta bruta media por hogar;2018;30.911
Toledo;Renta bruta media por hogar;2017;29.556
Toledo;Renta bruta media por hogar;2016;28.422
Toledo;Renta bruta media por hogar;2015;27.511
Cataluña;Renta neta media por persona ;2020;14.161
Cataluña;Renta neta media por persona ;2019;14.125
Cataluña;Renta neta media por persona ;2018;13.666
Cataluña;Renta neta media por persona ;2017;13.109
Cataluña;Renta neta media por persona ;2016;12.728
Cataluña;Renta neta media por persona ;2015;12.352
Cataluña;Renta neta media por hogar;2020;36.874
Cataluña;Renta neta media por hogar;2019;36.990
Cataluña;Renta neta media por hogar;2018;35.677
Cataluña;Renta neta media por hogar;2017;34.152
Cataluña;Renta neta media por hogar;2016;33.342
Cataluña;Renta neta media por hogar;2015;32.317
Cataluña;Media de la renta por unidad de consumo;2020;21.334
Cataluña;Media de la renta por unidad de consumo;2019;21.385
Cataluña;Media de la renta por unidad de consumo;2018;20.701
Cataluña;Media de la renta por unidad de consumo;2017;19.840
Cataluña;Media de la renta por unidad de consumo;2016;19.276
Cataluña;Media de la renta por unidad de consumo;2015;18.716
Cataluña;Mediana de la renta por unidad de consumo;2020;18.550
Cataluña;Mediana de la renta por unidad de consumo;2019;18.550
Cataluña;Mediana de la renta por unidad de consumo;2018;17.850
Cataluña;Mediana de la renta por unidad de consumo;2017;17.150
Cataluña;Mediana de la renta por unidad de consumo;2016;16.450
Cataluña;Mediana de la renta por unidad de consumo;2015;16.450
Cataluña;Renta bruta media por persona;2020;17.468
Cataluña;Renta bruta media por persona;2019;17.459
Cataluña;Renta bruta media por persona;2018;16.873
Cataluña;Renta bruta media por persona;2017;16.137
Cataluña;Renta bruta media por persona;2016;15.568
Cataluña;Renta bruta media por persona;2015;15.056
Cataluña;Renta bruta media por hogar;2020;45.486
Cataluña;Renta bruta media por hogar;2019;45.720
Cataluña;Renta bruta media por hogar;2018;44.050
Cataluña;Renta bruta media por hogar;2017;42.041
Cataluña;Renta bruta media por hogar;2016;40.779
Cataluña;Renta bruta media por hogar;2015;39.392
Barcelona;Renta neta media por persona ;2020;14.676
Barcelona;Renta neta media por persona ;2019;14.656
Barcelona;Renta neta media por persona ;2018;14.198
Barcelona;Renta neta media por persona ;2017;13.622
Barcelona;Renta neta media por persona ;2016;13.256
Barcelona;Renta neta media por persona ;2015;12.853
Barcelona;Renta neta media por hogar;2020;38.226
Barcelona;Renta neta media por hogar;2019;38.386
Barcelona;Renta neta media por hogar;2018;37.044
Barcelona;Renta neta media por hogar;2017;35.469
Barcelona;Renta neta media por hogar;2016;34.679
Barcelona;Renta neta media por hogar;2015;33.620
Barcelona;Media de la renta por unidad de consumo;2020;22.115
Barcelona;Media de la renta por unidad de consumo;2019;22.198
Barcelona;Media de la renta por unidad de consumo;2018;21.512
Barcelona;Media de la renta por unidad de consumo;2017;20.615
Barcelona;Media de la renta por unidad de consumo;2016;20.076
Barcelona;Media de la renta por unidad de consumo;2015;19.475
Barcelona;Mediana de la renta por unidad de consumo;2020;19.250
Barcelona;Mediana de la renta por unidad de consumo;2019;19.250
Barcelona;Mediana de la renta por unidad de consumo;2018;18.550
Barcelona;Mediana de la renta por unidad de consumo;2017;17.850
Barcelona;Mediana de la renta por unidad de consumo;2016;17.150
Barcelona;Mediana de la renta por unidad de consumo;2015;16.450
Barcelona;Renta bruta media por persona;2020;18.227
Barcelona;Renta bruta media por persona;2019;18.250
Barcelona;Renta bruta media por persona;2018;17.659
Barcelona;Renta bruta media por persona;2017;16.889
Barcelona;Renta bruta media por persona;2016;16.324
Barcelona;Renta bruta media por persona;2015;15.766
Barcelona;Renta bruta media por hogar;2020;47.473
Barcelona;Renta bruta media por hogar;2019;47.799
Barcelona;Renta bruta media por hogar;2018;46.076
Barcelona;Renta bruta media por hogar;2017;43.976
Barcelona;Renta bruta media por hogar;2016;42.705
Barcelona;Renta bruta media por hogar;2015;41.240
Girona;Renta neta media por persona ;2020;12.865
Girona;Renta neta media por persona ;2019;12.843
Girona;Renta neta media por persona ;2018;12.355
Girona;Renta neta media por persona ;2017;11.841
Girona;Renta neta media por persona ;2016;11.409
Girona;Renta neta media por persona ;2015;11.095
Girona;Renta neta media por hogar;2020;34.212
Girona;Renta neta media por hogar;2019;34.301
Girona;Renta neta media por hogar;2018;32.943
Girona;Renta neta media por hogar;2017;31.537
Girona;Renta neta media por hogar;2016;30.536
Girona;Renta neta media por hogar;2015;29.514
Girona;Media de la renta por unidad de consumo;2020;19.483
Girona;Media de la renta por unidad de consumo;2019;19.505
Girona;Media de la renta por unidad de consumo;2018;18.795
Girona;Media de la renta por unidad de consumo;2017;18.005
Girona;Media de la renta por unidad de consumo;2016;17.359
Girona;Media de la renta por unidad de consumo;2015;16.870
Girona;Mediana de la renta por unidad de consumo;2020;17.150
Girona;Mediana de la renta por unidad de consumo;2019;17.150
Girona;Mediana de la renta por unidad de consumo;2018;16.450
Girona;Mediana de la renta por unidad de consumo;2017;15.750
Girona;Mediana de la renta por unidad de consumo;2016;15.050
Girona;Mediana de la renta por unidad de consumo;2015;15.050
Girona;Renta bruta media por persona;2020;15.623
Girona;Renta bruta media por persona;2019;15.587
Girona;Renta bruta media por persona;2018;14.968
Girona;Renta bruta media por persona;2017;14.310
Girona;Renta bruta media por persona;2016;13.708
Girona;Renta bruta media por persona;2015;13.298
Girona;Renta bruta media por hogar;2020;41.546
Girona;Renta bruta media por hogar;2019;41.630
Girona;Renta bruta media por hogar;2018;39.910
Girona;Renta bruta media por hogar;2017;38.111
Girona;Renta bruta media por hogar;2016;36.691
Girona;Renta bruta media por hogar;2015;35.373
Lleida;Renta neta media por persona ;2020;12.896
Lleida;Renta neta media por persona ;2019;12.618
Lleida;Renta neta media por persona ;2018;12.124
Lleida;Renta neta media por persona ;2017;11.624
Lleida;Renta neta media por persona ;2016;11.208
Lleida;Renta neta media por persona ;2015;10.914
Lleida;Renta neta media por hogar;2020;33.305
Lleida;Renta neta media por hogar;2019;32.796
Lleida;Renta neta media por hogar;2018;31.474
Lleida;Renta neta media por hogar;2017;29.856
Lleida;Renta neta media por hogar;2016;28.957
Lleida;Renta neta media por hogar;2015;28.202
Lleida;Media de la renta por unidad de consumo;2020;19.350
Lleida;Media de la renta por unidad de consumo;2019;18.994
Lleida;Media de la renta por unidad de consumo;2018;18.266
Lleida;Media de la renta por unidad de consumo;2017;17.495
Lleida;Media de la renta por unidad de consumo;2016;16.831
Lleida;Media de la renta por unidad de consumo;2015;16.412
Lleida;Mediana de la renta por unidad de consumo;2020;17.150
Lleida;Mediana de la renta por unidad de consumo;2019;16.450
Lleida;Mediana de la renta por unidad de consumo;2018;15.750
Lleida;Mediana de la renta por unidad de consumo;2017;15.050
Lleida;Mediana de la renta por unidad de consumo;2016;14.350
Lleida;Mediana de la renta por unidad de consumo;2015;14.350
Lleida;Renta bruta media por persona;2020;15.512
Lleida;Renta bruta media por persona;2019;15.144
Lleida;Renta bruta media por persona;2018;14.548
Lleida;Renta bruta media por persona;2017;13.923
Lleida;Renta bruta media por persona;2016;13.330
Lleida;Renta bruta media por persona;2015;12.950
Lleida;Renta bruta media por hogar;2020;40.061
Lleida;Renta bruta media por hogar;2019;39.359
Lleida;Renta bruta media por hogar;2018;37.767
Lleida;Renta bruta media por hogar;2017;35.760
Lleida;Renta bruta media por hogar;2016;34.441
Lleida;Renta bruta media por hogar;2015;33.463
Tarragona;Renta neta media por persona ;2020;12.491
Tarragona;Renta neta media por persona ;2019;12.432
Tarragona;Renta neta media por persona ;2018;12.011
Tarragona;Renta neta media por persona ;2017;11.506
Tarragona;Renta neta media por persona ;2016;11.119
Tarragona;Renta neta media por persona ;2015;10.817
Tarragona;Renta neta media por hogar;2020;31.975
Tarragona;Renta neta media por hogar;2019;32.054
Tarragona;Renta neta media por hogar;2018;30.952
Tarragona;Renta neta media por hogar;2017;29.703
Tarragona;Renta neta media por hogar;2016;29.022
Tarragona;Renta neta media por hogar;2015;28.105
Tarragona;Media de la renta por unidad de consumo;2020;18.723
Tarragona;Media de la renta por unidad de consumo;2019;18.741
Tarragona;Media de la renta por unidad de consumo;2018;18.121
Tarragona;Media de la renta por unidad de consumo;2017;17.385
Tarragona;Media de la renta por unidad de consumo;2016;16.815
Tarragona;Media de la renta por unidad de consumo;2015;16.388
Tarragona;Mediana de la renta por unidad de consumo;2020;16.450
Tarragona;Mediana de la renta por unidad de consumo;2019;16.450
Tarragona;Mediana de la renta por unidad de consumo;2018;15.750
Tarragona;Mediana de la renta por unidad de consumo;2017;15.050
Tarragona;Mediana de la renta por unidad de consumo;2016;14.350
Tarragona;Mediana de la renta por unidad de consumo;2015;14.350
Tarragona;Renta bruta media por persona;2020;15.002
Tarragona;Renta bruta media por persona;2019;14.932
Tarragona;Renta bruta media por persona;2018;14.418
Tarragona;Renta bruta media por persona;2017;13.779
Tarragona;Renta bruta media por persona;2016;13.263
Tarragona;Renta bruta media por persona;2015;12.898
Tarragona;Renta bruta media por hogar;2020;38.403
Tarragona;Renta bruta media por hogar;2019;38.502
Tarragona;Renta bruta media por hogar;2018;37.155
Tarragona;Renta bruta media por hogar;2017;35.572
Tarragona;Renta bruta media por hogar;2016;34.619
Tarragona;Renta bruta media por hogar;2015;33.511
Comunitat Valenciana;Renta neta media por persona ;2020;11.535
Comunitat Valenciana;Renta neta media por persona ;2019;11.407
Comunitat Valenciana;Renta neta media por persona ;2018;10.921
Comunitat Valenciana;Renta neta media por persona ;2017;10.402
Comunitat Valenciana;Renta neta media por persona ;2016;9.953
Comunitat Valenciana;Renta neta media por persona ;2015;9.737
Comunitat Valenciana;Renta neta media por hogar;2020;29.261
Comunitat Valenciana;Renta neta media por hogar;2019;29.167
Comunitat Valenciana;Renta neta media por hogar;2018;27.927
Comunitat Valenciana;Renta neta media por hogar;2017;26.668
Comunitat Valenciana;Renta neta media por hogar;2016;25.766
Comunitat Valenciana;Renta neta media por hogar;2015;25.029
Comunitat Valenciana;Media de la renta por unidad de consumo;2020;17.355
Comunitat Valenciana;Media de la renta por unidad de consumo;2019;17.219
Comunitat Valenciana;Media de la renta por unidad de consumo;2018;16.504
Comunitat Valenciana;Media de la renta por unidad de consumo;2017;15.720
Comunitat Valenciana;Media de la renta por unidad de consumo;2016;15.089
Comunitat Valenciana;Media de la renta por unidad de consumo;2015;14.700
Comunitat Valenciana;Mediana de la renta por unidad de consumo;2020;15.050
Comunitat Valenciana;Mediana de la renta por unidad de consumo;2019;15.050
Comunitat Valenciana;Mediana de la renta por unidad de consumo;2018;14.350
Comunitat Valenciana;Mediana de la renta por unidad de consumo;2017;13.650
Comunitat Valenciana;Mediana de la renta por unidad de consumo;2016;12.950
Comunitat Valenciana;Mediana de la renta por unidad de consumo;2015;12.250
Comunitat Valenciana;Renta bruta media por persona;2020;13.789
Comunitat Valenciana;Renta bruta media por persona;2019;13.643
Comunitat Valenciana;Renta bruta media por persona;2018;13.050
Comunitat Valenciana;Renta bruta media por persona;2017;12.398
Comunitat Valenciana;Renta bruta media por persona;2016;11.825
Comunitat Valenciana;Renta bruta media por persona;2015;11.520
Comunitat Valenciana;Renta bruta media por hogar;2020;34.980
Comunitat Valenciana;Renta bruta media por hogar;2019;34.883
Comunitat Valenciana;Renta bruta media por hogar;2018;33.372
Comunitat Valenciana;Renta bruta media por hogar;2017;31.785
Comunitat Valenciana;Renta bruta media por hogar;2016;30.610
Comunitat Valenciana;Renta bruta media por hogar;2015;29.613
Alicante/Alacant;Renta neta media por persona ;2020;10.236
Alicante/Alacant;Renta neta media por persona ;2019;10.177
Alicante/Alacant;Renta neta media por persona ;2018;9.736
Alicante/Alacant;Renta neta media por persona ;2017;9.313
Alicante/Alacant;Renta neta media por persona ;2016;8.814
Alicante/Alacant;Renta neta media por persona ;2015;8.695
Alicante/Alacant;Renta neta media por hogar;2020;26.274
Alicante/Alacant;Renta neta media por hogar;2019;26.293
Alicante/Alacant;Renta neta media por hogar;2018;25.161
Alicante/Alacant;Renta neta media por hogar;2017;24.112
Alicante/Alacant;Renta neta media por hogar;2016;23.165
Alicante/Alacant;Renta neta media por hogar;2015;22.536
Alicante/Alacant;Media de la renta por unidad de consumo;2020;15.545
Alicante/Alacant;Media de la renta por unidad de consumo;2019;15.491
Alicante/Alacant;Media de la renta por unidad de consumo;2018;14.835
Alicante/Alacant;Media de la renta por unidad de consumo;2017;14.172
Alicante/Alacant;Media de la renta por unidad de consumo;2016;13.506
Alicante/Alacant;Media de la renta por unidad de consumo;2015;13.217
Alicante/Alacant;Mediana de la renta por unidad de consumo;2020;13.650
Alicante/Alacant;Mediana de la renta por unidad de consumo;2019;13.650
Alicante/Alacant;Mediana de la renta por unidad de consumo;2018;12.950
Alicante/Alacant;Mediana de la renta por unidad de consumo;2017;12.250
Alicante/Alacant;Mediana de la renta por unidad de consumo;2016;11.550
Alicante/Alacant;Mediana de la renta por unidad de consumo;2015;11.550
Alicante/Alacant;Renta bruta media por persona;2020;12.070
Alicante/Alacant;Renta bruta media por persona;2019;12.019
Alicante/Alacant;Renta bruta media por persona;2018;11.496
Alicante/Alacant;Renta bruta media por persona;2017;10.968
Alicante/Alacant;Renta bruta media por persona;2016;10.348
Alicante/Alacant;Renta bruta media por persona;2015;10.174
Alicante/Alacant;Renta bruta media por hogar;2020;30.983
Alicante/Alacant;Renta bruta media por hogar;2019;31.051
Alicante/Alacant;Renta bruta media por hogar;2018;29.710
Alicante/Alacant;Renta bruta media por hogar;2017;28.397
Alicante/Alacant;Renta bruta media por hogar;2016;27.197
Alicante/Alacant;Renta bruta media por hogar;2015;26.370
Castellón/Castelló;Renta neta media por persona ;2020;12.079
Castellón/Castelló;Renta neta media por persona ;2019;11.987
Castellón/Castelló;Renta neta media por persona ;2018;11.461
Castellón/Castelló;Renta neta media por persona ;2017;10.958
Castellón/Castelló;Renta neta media por persona ;2016;10.504
Castellón/Castelló;Renta neta media por persona ;2015;10.136
Castellón/Castelló;Renta neta media por hogar;2020;29.875
Castellón/Castelló;Renta neta media por hogar;2019;29.847
Castellón/Castelló;Renta neta media por hogar;2018;28.557
Castellón/Castelló;Renta neta media por hogar;2017;27.398
Castellón/Castelló;Renta neta media por hogar;2016;26.457
Castellón/Castelló;Renta neta media por hogar;2015;25.493
Castellón/Castelló;Media de la renta por unidad de consumo;2020;17.995
Castellón/Castelló;Media de la renta por unidad de consumo;2019;17.877
Castellón/Castelló;Media de la renta por unidad de consumo;2018;17.144
Castellón/Castelló;Media de la renta por unidad de consumo;2017;16.408
Castellón/Castelló;Media de la renta por unidad de consumo;2016;15.722
Castellón/Castelló;Media de la renta por unidad de consumo;2015;15.169
Castellón/Castelló;Mediana de la renta por unidad de consumo;2020;15.750
Castellón/Castelló;Mediana de la renta por unidad de consumo;2019;15.750
Castellón/Castelló;Mediana de la renta por unidad de consumo;2018;15.050
Castellón/Castelló;Mediana de la renta por unidad de consumo;2017;14.350
Castellón/Castelló;Mediana de la renta por unidad de consumo;2016;13.650
Castellón/Castelló;Mediana de la renta por unidad de consumo;2015;12.950
Castellón/Castelló;Renta bruta media por persona;2020;14.499
Castellón/Castelló;Renta bruta media por persona;2019;14.345
Castellón/Castelló;Renta bruta media por persona;2018;13.728
Castellón/Castelló;Renta bruta media por persona;2017;13.119
Castellón/Castelló;Renta bruta media por persona;2016;12.498
Castellón/Castelló;Renta bruta media por persona;2015;12.015
Castellón/Castelló;Renta bruta media por hogar;2020;35.862
Castellón/Castelló;Renta bruta media por hogar;2019;35.716
Castellón/Castelló;Renta bruta media por hogar;2018;34.205
Castellón/Castelló;Renta bruta media por hogar;2017;32.801
Castellón/Castelló;Renta bruta media por hogar;2016;31.478
Castellón/Castelló;Renta bruta media por hogar;2015;30.217
Valencia/València;Renta neta media por persona ;2020;12.333
Valencia/València;Renta neta media por persona ;2019;12.145
Valencia/València;Renta neta media por persona ;2018;11.634
Valencia/València;Renta neta media por persona ;2017;11.041
Valencia/València;Renta neta media por persona ;2016;10.641
Valencia/València;Renta neta media por persona ;2015;10.377
Valencia/València;Renta neta media por hogar;2020;31.208
Valencia/València;Renta neta media por hogar;2019;31.017
Valencia/València;Renta neta media por hogar;2018;29.710
Valencia/València;Renta neta media por hogar;2017;28.274
Valencia/València;Renta neta media por hogar;2016;27.426
Valencia/València;Renta neta media por hogar;2015;26.655
Valencia/València;Media de la renta por unidad de consumo;2020;18.478
Valencia/València;Media de la renta por unidad de consumo;2019;18.275
Valencia/València;Media de la renta por unidad de consumo;2018;17.524
Valencia/València;Media de la renta por unidad de consumo;2017;16.640
Valencia/València;Media de la renta por unidad de consumo;2016;16.057
Valencia/València;Media de la renta por unidad de consumo;2015;15.621
Valencia/València;Mediana de la renta por unidad de consumo;2020;15.750
Valencia/València;Mediana de la renta por unidad de consumo;2019;15.750
Valencia/València;Mediana de la renta por unidad de consumo;2018;15.050
Valencia/València;Mediana de la renta por unidad de consumo;2017;14.350
Valencia/València;Mediana de la renta por unidad de consumo;2016;13.650
Valencia/València;Mediana de la renta por unidad de consumo;2015;12.950
Valencia/València;Renta bruta media por persona;2020;14.848
Valencia/València;Renta bruta media por persona;2019;14.631
Valencia/València;Renta bruta media por persona;2018;13.993
Valencia/València;Renta bruta media por persona;2017;13.240
Valencia/València;Renta bruta media por persona;2016;12.725
Valencia/València;Renta bruta media por persona;2015;12.352
Valencia/València;Renta bruta media por hogar;2020;37.573
Valencia/València;Renta bruta media por hogar;2019;37.365
Valencia/València;Renta bruta media por hogar;2018;35.733
Valencia/València;Renta bruta media por hogar;2017;33.903
Valencia/València;Renta bruta media por hogar;2016;32.798
Valencia/València;Renta bruta media por hogar;2015;31.727
Extremadura;Renta neta media por persona ;2020;10.243
Extremadura;Renta neta media por persona ;2019;10.131
Extremadura;Renta neta media por persona ;2018;9.635
Extremadura;Renta neta media por persona ;2017;9.182
Extremadura;Renta neta media por persona ;2016;8.866
Extremadura;Renta neta media por persona ;2015;8.682
Extremadura;Renta neta media por hogar;2020;24.700
Extremadura;Renta neta media por hogar;2019;24.603
Extremadura;Renta neta media por hogar;2018;23.557
Extremadura;Renta neta media por hogar;2017;22.673
Extremadura;Renta neta media por hogar;2016;22.044
Extremadura;Renta neta media por hogar;2015;21.703
Extremadura;Media de la renta por unidad de consumo;2020;15.104
Extremadura;Media de la renta por unidad de consumo;2019;14.974
Extremadura;Media de la renta por unidad de consumo;2018;14.283
Extremadura;Media de la renta por unidad de consumo;2017;13.654
Extremadura;Media de la renta por unidad de consumo;2016;13.201
Extremadura;Media de la renta por unidad de consumo;2015;12.950
Extremadura;Mediana de la renta por unidad de consumo;2020;12.950
Extremadura;Mediana de la renta por unidad de consumo;2019;12.950
Extremadura;Mediana de la renta por unidad de consumo;2018;12.250
Extremadura;Mediana de la renta por unidad de consumo;2017;11.550
Extremadura;Mediana de la renta por unidad de consumo;2016;10.850
Extremadura;Mediana de la renta por unidad de consumo;2015;10.850
Extremadura;Renta bruta media por persona;2020;11.848
Extremadura;Renta bruta media por persona;2019;11.697
Extremadura;Renta bruta media por persona;2018;11.103
Extremadura;Renta bruta media por persona;2017;10.576
Extremadura;Renta bruta media por persona;2016;10.197
Extremadura;Renta bruta media por persona;2015;9.969
Extremadura;Renta bruta media por hogar;2020;28.571
Extremadura;Renta bruta media por hogar;2019;28.408
Extremadura;Renta bruta media por hogar;2018;27.147
Extremadura;Renta bruta media por hogar;2017;26.114
Extremadura;Renta bruta media por hogar;2016;25.354
Extremadura;Renta bruta media por hogar;2015;24.919
Badajoz;Renta neta media por persona ;2020;10.001
Badajoz;Renta neta media por persona ;2019;9.895
Badajoz;Renta neta media por persona ;2018;9.417
Badajoz;Renta neta media por persona ;2017;8.971
Badajoz;Renta neta media por persona ;2016;8.643
Badajoz;Renta neta media por persona ;2015;8.448
Badajoz;Renta neta media por hogar;2020;24.905
Badajoz;Renta neta media por hogar;2019;24.819
Badajoz;Renta neta media por hogar;2018;23.780
Badajoz;Renta neta media por hogar;2017;22.872
Badajoz;Renta neta media por hogar;2016;22.222
Badajoz;Renta neta media por hogar;2015;21.824
Badajoz;Media de la renta por unidad de consumo;2020;14.905
Badajoz;Media de la renta por unidad de consumo;2019;14.781
Badajoz;Media de la renta por unidad de consumo;2018;14.104
Badajoz;Media de la renta por unidad de consumo;2017;13.471
Badajoz;Media de la renta por unidad de consumo;2016;13.001
Badajoz;Media de la renta por unidad de consumo;2015;12.725
Badajoz;Mediana de la renta por unidad de consumo;2020;12.950
Badajoz;Mediana de la renta por unidad de consumo;2019;12.950
Badajoz;Mediana de la renta por unidad de consumo;2018;12.250
Badajoz;Mediana de la renta por unidad de consumo;2017;11.550
Badajoz;Mediana de la renta por unidad de consumo;2016;10.850
Badajoz;Mediana de la renta por unidad de consumo;2015;10.850
Badajoz;Renta bruta media por persona;2020;11.573
Badajoz;Renta bruta media por persona;2019;11.430
Badajoz;Renta bruta media por persona;2018;10.857
Badajoz;Renta bruta media por persona;2017;10.333
Badajoz;Renta bruta media por persona;2016;9.942
Badajoz;Renta bruta media por persona;2015;9.699
